"status","label","pdf_name","league","closest_candidates"
"1","Varsity","MAU","CRAA D1AA",""
"4","Club","Northern Arizona","CRAA D1AA","University of Arizona | Ohio Northern University | Northern Illinois University"
"2","Sanctioned","ARC","CRAA D1AA",""
"1","Varsity","Indiana Tech","","Tennessee Tech University | Indiana University Bloomington | Indiana University of Pennsylvania"
"1","Varsity","Iowa Central CC","","Iowa Central Community College | University of Iowa | Central College"
"3","Endowed","Penn State","","Penn State Altoona | Penn State Berks | Oklahoma State University"
"4","Club","Nebraska","NCR D1AA","University of Nebraska Omaha | University of Nebraska-Lincoln"
"4","Club","Texas","NCR D1AA","University of North Texas | University of Texas at Dallas | University of Texas at Austin"
"3","Endowed","St. Joseph's","NCR D1AA","St. Michael's College | St. John's University | St. Edward's University"
"4","Club","Buffalo","NCR D1AA","University at Buffalo (SUNY) | SUNY Buffalo State College"
"3","Endowed","Indiana","","Indiana University Bloomington | Indiana University of Pennsylvania | University of Southern Indiana"
"4","Club","Minnesota","CRAA D1AA","University of Minnesota Duluth | University of Minnesota Morris | Southwest Minnesota State University"
"4","Club","Wisconsin","","University of Wisconsin-Madison | University of Wisconsin-Whitewater | University of Wisconsin-Oshkosh"
"4","Club","Cal Poly HumboldtCRAA D1AA","",""
"4","Club","Illinois","","Eastern Illinois University | Northern Illinois University | Western Illinois University"
"4","Club","Missouri S&T","","University of Missouri | University of Central Missouri | St. Michael's College"
"4","Club","Paul Smith's College","","Paul Smiths College | St. Michael's College | St. John's University"
"4","Club","Penn West Univ. - California","","California University of Pennsylvania | University of California, Berkeley | University of California, Davis"
"4","Club","Penn West Univ. - Clarion","","PennWest Clarion | West Virginia University | Clarion University of Pennsylvania"
"4","Club","Johnson & Wales Univ.","",""
"4","Club","St. Anselms","","St. Thomas University | University of St. Thomas | St. Olaf College"
"4","Club","Southeastern","","Nova Southeastern University | Southeastern Louisiana University"
"4","Club","St. Edwards Univ.","","St. Thomas University | University of St. Thomas | St. Olaf College"
"4","Club","St. Mary's College Maryland","","Mount St. Mary's University | St. Michael's College | St. John's University"
"4","Club","FIU","",""
"4","Club","UC Riverside","","University of California, Riverside"
"4","Club","Christian Brothers Univ.","","Abilene Christian University | Texas Christian University"
"4","Club","UMass-Lowell","","University of Massachusetts Lowell"
"4","Club","High Peaks","","High Point University"
"4","Club","UNC Greensboro","","University of North Carolina at Greensboro"
"4","Club","UNC-Wilmington","","University of North Carolina Wilmington"
"4","Club","USF","",""
"4","Club","Mercyhurst Univ.","",""
"4","Club","IU Indy","","IUPUI (Indiana Univ–Purdue Univ Indy)"
"4","Club","UTSA","",""
"4","Club","DePauw Univ.","",""
"4","Club","Minnesota-Mankato","","Minnesota State University, Mankato | University of Minnesota Duluth | University of Minnesota Morris"
"4","Club","WVU","",""
